,location,new_cases_per_million,new_deaths_per_million
6,Afghanistan,18.401,0.251
13,Albania,87.367,2.437
20,Algeria,11.251,0.179
34,Angola,1.3259999999999998,0.0
48,Argentina,557.078,5.678999999999999
55,Armenia,549.505,3.7060000000000004
62,Australia,1061.454,2.094
69,Austria,3315.245,2.765
76,Azerbaijan,457.776,2.641
83,Bahamas,73.064,0.0
90,Bahrain,4027.9240000000004,1.716
97,Bangladesh,56.336999999999996,0.228
104,Barbados,1456.338,0.0
111,Belarus,621.5269999999999,1.271
118,Belgium,4194.773,9.456
125,Belize,1568.23,2.47
132,Benin,0.0,0.0
146,Bhutan,266.70099999999996,0.0
153,Bolivia,266.798,3.549
160,Bosnia and Herzegovina,798.2330000000001,39.222
167,Botswana,469.707,3.3369999999999997
174,Brazil,325.314,2.019
188,Bulgaria,1161.723,25.52
195,Burkina Faso,0.18600000000000003,0.0
202,Burundi,14.687000000000001,0.0
209,Cambodia,6.372999999999999,0.0
216,Cameroon,35.189,0.992
223,Canada,421.615,3.3360000000000003
230,Cape Verde,30.254,1.78
244,Central African Republic,0.0,0.0
251,Chad,3.37,0.0
258,Chile,1761.3139999999999,3.8
265,China,0.105,0.0
272,Colombia,177.11599999999999,4.584
279,Comoros,22.511,0.0
286,Congo,15.379000000000001,0.7070000000000001
293,Costa Rica,2283.884,10.312999999999999
300,Cote d'Ivoire,0.665,0.037000000000000005
307,Croatia,311.14799999999997,13.965
314,Cuba,119.196,0.353
321,Cyprus,0.0,0.0
328,Czechia,851.038,2.7039999999999997
335,Democratic Republic of Congo,1.905,0.41100000000000003
342,Denmark,5994.7,4.817
349,Djibouti,13.969000000000001,0.0
356,Dominican Republic,95.31,0.365
363,Ecuador,0.0,0.0
370,Egypt,21.791999999999998,0.547
377,El Salvador,0.0,1.534
384,Equatorial Guinea,3.449,0.0
398,Estonia,3487.052,4.5280000000000005
405,Eswatini,22.177,0.0
412,Ethiopia,1.171,0.085
419,Fiji,90.819,2.215
426,Finland,3586.284,6.669
433,France,682.285,6.185
440,Gabon,50.465,0.0
447,Gambia,0.0,0.0
454,Georgia,2823.025,8.543
461,Germany,1135.476,0.584
468,Ghana,6.617999999999999,0.221
475,Greece,1817.3229999999999,11.185
489,Guatemala,53.754,0.43799999999999994
496,Guinea,0.593,0.29600000000000004
510,Guyana,20.245,1.265
517,Haiti,10.137,0.0
524,Honduras,0.0,0.0
538,Hungary,3499.63,24.289
545,Iceland,12665.676000000001,2.7119999999999997
552,India,48.512,0.853
559,Indonesia,94.51700000000001,0.297
566,Iran,468.3,1.2229999999999999
573,Iraq,128.341,0.6559999999999999
580,Ireland,3044.008,0.0
587,Israel,5476.052,4.9510000000000005
594,Italy,689.1460000000001,5.4
601,Jamaica,77.015,1.345
608,Japan,538.981,0.8959999999999999
615,Jordan,2105.945,2.6289999999999996
622,Kazakhstan,106.291,3.159
629,Kenya,1.0,0.0
