,location,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,is_asia,is_europe,is_africa,is_north_america,is_south_america,is_oceania
0,Afghanistan,4140.920333333333,13.660333333333334,186.3165,0.07533333333333335,0.033,0.47924999999999995,2.1166666666666667,11.49,9.82,19.44,54.422000000000004,18.599999999999998,2.581,1.337,1803.9870000000003,30.245516038912584,597.029,9.590000000000002,0.6517427871899134,16.355066874819965,0.5,64.83,0.511,1.0,0.0,0.0,0.0,0.0,0.0
1,Albania,91195.44683333334,352.7753333333333,1171.3925,1.9725000000000001,0.7461666666666668,0.6178500000000001,1.6166666666666665,43.615,40.44,61.11000000000001,104.871,38.0,13.188,8.642999999999999,11803.430999999999,1.0999999999999999,304.195,10.08,7.1000000000000005,51.199999999999996,2.89,78.57,0.795,0.0,1.0,0.0,0.0,0.0,0.0
2,Algeria,5740.091333333333,21.8865,148.42,0.2503333333333333,8.940423330526079,0.032456522518167545,54157.41427628462,53.06542433464745,43.653433670005946,64.505,17.348,29.099999999999998,6.210999999999999,3.8569999999999998,13913.839000000002,0.5,278.36400000000003,6.730000000000001,0.7000000000000001,30.400000000000002,1.9000000000000001,76.88,0.7480000000000001,0.0,0.0,1.0,0.0,0.0,0.0
4,Angola,2897.1620000000003,1.218,55.864,0.004833333333333333,0.07733333333333332,0.022566666666666665,50.76666666666667,29.47,14.38,70.37,23.89,16.8,2.405,1.3619999999999999,5819.495,14.854053948513046,276.045,3.94,0.9457187036260981,25.85623352979308,0.8814961945006689,61.15,0.581,0.0,0.0,1.0,0.0,0.0,0.0
6,Argentina,186885.4335,771.9153333333334,2679.5043333333333,5.1565,1.5141666666666669,0.39116666666666666,2.5666666666666664,88.36166666666668,78.00166666666668,49.07,16.176999999999996,31.900000000000002,11.198,7.441,18933.907000000003,0.6,191.032,5.5,16.2,27.7,5.0,76.67,0.8449999999999999,0.0,0.0,0.0,0.0,1.0,0.0
7,Armenia,128362.10800000001,1244.4433333333332,2719.053833333333,1.8531666666666669,2.624333333333334,0.4043333333333334,2.5000000000000004,35.52,28.94,55.03310186445415,102.931,35.699999999999996,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,4.2,75.09000000000002,0.7759999999999999,1.0,0.0,0.0,0.0,0.0,0.0
8,Australia,104222.48916666665,1112.4008333333334,158.77383333333333,2.669166666666667,4.376166666666666,0.1415,7.166666666666667,84.41833333333334,78.57333333333334,55.56,3.2019999999999995,37.9,15.504000000000003,10.129,44648.71,0.5,107.79099999999998,5.07,13.0,16.5,3.84,83.44,0.9440000000000001,0.0,0.0,0.0,0.0,0.0,1.0
9,Austria,215498.7818333333,3713.763833333333,1909.2884999999999,1.9720000000000002,81.38966666666667,0.04481666666666667,22.383333333333336,75.10000000000001,72.11,61.11000000000001,106.74900000000001,44.4,19.202,13.748,45436.685999999994,0.7000000000000001,145.183,6.3500000000000005,28.400000000000002,30.900000000000002,7.37,81.54,0.922,0.0,1.0,0.0,0.0,0.0,0.0
10,Azerbaijan,66575.44416666667,655.102,861.9326666666667,2.2335000000000003,1.437,0.33801666666666663,3.0,51.26,46.43833333333333,79.63,119.30899999999998,32.4,6.018,3.871000000000001,15847.419,11.60421702004855,559.812,7.11,0.3,42.5,4.7,73.0,0.7559999999999999,1.0,0.0,0.0,0.0,0.0,0.0
11,Bahamas,82343.1945,88.60000000000001,1886.2186666666666,2.9393333333333334,1.0321666666666667,0.10361666666666669,9.916666666666666,57.043394421115664,53.87910696615692,42.59,39.49700000000001,34.300000000000004,8.996,5.2,27717.847000000005,0.17479382477347596,235.95399999999998,13.17,3.1,20.400000000000002,2.9,73.92,0.8140000000000001,0.0,0.0,0.0,1.0,0.0,0.0
